,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge
862,BaLiBO3,BaLiBO3_Va_O2,4.3964,-2.9588598808333337,1.4289886026329244,2.691006742313024,4.298691217392023,1
863,BaLiBO3,BaLiBO3_Va_O3,4.3964,-2.9588598808333337,1.53754901310518,2.646135996449018,4.328759830485708,1
864,BaNaBO3,BaNaBO3_Va_O1,3.7356000000000007,-2.8548703726197324,1.5407287761432102,2.509697461111415,4.340122374728147,1
865,BaNaBO3,BaNaBO3_Va_O2,3.7356000000000007,-2.8548703726197324,1.5373385911452355,2.5242918951106903,4.392622460565108,1
866,BaO,BaO_Va_O1,1.8639,-2.8236447624999994,0.8900000000000002,1.0286716207655016,4.308322994983372,1
867,BaSi3SnO9,BaSi3SnO9_Va_O1,3.8655,-3.09274423,2.471517089830876,2.5173667705719365,4.159174973429243,1
868,BaSi3SnO9,BaSi3SnO9_Va_O2,3.8655,-3.09274423,2.4936324870049154,3.489325961160364,4.414959353632467,1
869,BaSn(GeO3)3,BaSn(GeO3)3_Va_O1,2.7438,-2.351820577142858,2.541033501659523,2.7764566140128477,2.520852857949711,1
870,BaSn(GeO3)3,BaSn(GeO3)3_Va_O2,2.7438,-2.351820577142858,2.502816582503572,2.1198972465106536,2.201525889649581,1
871,BaSr2Mg(SiO4)2,BaSr2Mg(SiO4)2_Va_O1,4.8603,-3.37927034952381,2.065995745765302,1.8374745046862495,4.356045000496491,1
872,BaSr2Mg(SiO4)2,BaSr2Mg(SiO4)2_Va_O2,4.8603,-3.37927034952381,1.807324916546479,2.42808934416281,4.259442927545114,1
873,BeAl2O4,BeAl2O4_Va_O1,6.2674,-3.3529182539285713,2.0969475100120025,2.331450092422872,4.72137746438862,1
874,BeAl2O4,BeAl2O4_Va_O2,6.2674,-3.3529182539285713,2.0443506054519656,2.945332819624798,4.785233249283326,1
875,BeAl2O4,BeAl2O4_Va_O3,6.2674,-3.3529182539285713,2.051983358903639,2.6570320590633525,4.640185896385134,1
876,BeO,BeO_Va_O1,7.4735,-3.1028558024999997,1.7045243414171556,2.56383046489316,5.194772300257529,1
877,BeTlAsO4,BeTlAsO4_Va_O1,3.4400000000000004,-2.04176959047619,2.323202994387384,3.280003496341653,1.8082145850600428,1
878,BeTlAsO4,BeTlAsO4_Va_O2,3.4400000000000004,-2.04176959047619,2.317351757376583,3.217439530285585,1.7579576992528338,1
879,BeTlAsO4,BeTlAsO4_Va_O3,3.4400000000000004,-2.04176959047619,2.2085485528376574,3.2272401748113677,1.5287752053783266,1
880,BeTlAsO4,BeTlAsO4_Va_O4,3.4400000000000004,-2.04176959047619,2.2941024483966763,3.319128878980706,1.8663937028178477,1
881,Bi2O3,Bi2O3_Va_O1,2.1518000000000006,-1.6417272149999995,2.5534711302971105,2.572681787528063,1.5949257844881852,1
882,Bi2O3,Bi2O3_Va_O2,2.1518000000000006,-1.6417272149999995,2.5818292627200585,2.4718292317832677,1.608076709936071,1
883,Bi2O3,Bi2O3_Va_O3,2.1518000000000006,-1.6417272149999995,2.523204218589346,2.561136419992206,1.415810018089293,1
884,BiAsO4,BiAsO4_Va_O1,3.2501,-1.766119035,2.7975842130139705,2.621805659606698,0.8867770684533058,1
885,BiAsO4,BiAsO4_Va_O2,3.2501,-1.766119035,2.758464278013782,2.928444901237197,0.8451534616799814,1
886,BiAsO4,BiAsO4_Va_O3,3.2501,-1.766119035,2.758574603219192,2.592039016935125,1.1131645793835527,1
887,BiAsO4,BiAsO4_Va_O4,3.2501,-1.766119035,2.7653769057530555,2.781303980765942,1.1000413250547656,1
888,BiBO3,BiBO3_Va_O1,2.9598,-2.2904667498333326,2.454892262595023,3.678526623688129,2.948158175069363,1
889,BiBO3,BiBO3_Va_O2,2.9598,-2.2904667498333326,2.5504895340269664,3.646173626502017,2.862203398530907,1
