,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1867,Mg(GaO2)2,Mg(GaO2)2_Va_O2,2.6435999999999997,-2.5373796199999994,2.164791428412206,2.4422308896483296,0.5316895875623331,2,95,-1.8812876656363955,8.866717334025033
1868,Mg(SbO2)2,Mg(SbO2)2_Va_O1,2.3566000000000003,-2.1705149424999997,2.247257477502938,2.5266811950259194,0.3529713400486751,2,79,-1.2369755737418262,7.863672988063119
1869,Mg(SbO3)2,Mg(SbO3)2_Va_O1,1.2204999999999997,-2.227293432222222,2.623422811678609,2.951558788863369,0.5134815583765788,2,71,-0.5208045461292565,6.445101406808231
1870,Mg(SbO3)2,Mg(SbO3)2_Va_O2,1.2204999999999997,-2.227293432222222,2.6181543766427833,2.9552288083076332,0.4549566474735829,2,63,-0.5208045461292565,6.305677094589112
1871,Mg2GeO4,Mg2GeO4_Va_O1,3.2892,-2.729311635,2.054104618635752,1.9219571448136403,1.2606893658574516,2,79,-1.502819088333178,8.39254887430781
1872,Mg2GeO4,Mg2GeO4_Va_O2,3.2892,-2.729311635,1.988359071101306,2.036416461331928,1.897649026264609,2,95,-1.502819088333178,8.677360772222874
1873,Mg2GeO4,Mg2GeO4_Va_O3,3.2892,-2.729311635,2.000085437055408,2.560866760737587,2.4786187019477275,2,111,-1.502819088333178,8.585291740313316
1874,Mg2SiO4,Mg2SiO4_Va_O1,4.7105,-3.2217519799999996,2.0246774317016203,2.240792191255425,1.9125031733631792,2,79,-2.356834901289411,8.954246901597735
1875,Mg2SiO4,Mg2SiO4_Va_O2,4.7105,-3.2217519799999996,1.9624047356842675,2.4262009460250775,2.83425739268932,2,95,-2.356834901289411,9.252818974122412
1876,Mg2SiO4,Mg2SiO4_Va_O3,4.7105,-3.2217519799999996,1.978143668023242,2.739128908889802,3.6923094194226183,2,111,-2.356834901289411,9.0555415275473
1877,Mg2SnO4,Mg2SnO4_Va_O1,2.6452,-2.6716233064285717,2.095557891012285,2.2622130596147794,1.56495872369636,2,335,-1.538575818365933,7.6472084383060555
1878,Mg2SnO4,Mg2SnO4_Va_O2,2.6452,-2.6716233064285717,1.967551878218179,1.545521679732672,2.5553996895718765,2,287,-1.538575818365933,7.254056874175092
1879,Mg3(AsO4)2,Mg3(AsO4)2_Va_O1,3.7674,-2.457165634230768,2.338025179654921,2.013496418375219,0.2526684919741035,2,311,-0.6589084382122885,6.013779133895397
1880,Mg3(AsO4)2,Mg3(AsO4)2_Va_O2,3.7674,-2.457165634230768,2.2844127882122516,2.3976041183048076,1.954889242493969,2,299,-0.6589084382122885,6.105057711051703
1881,Mg3(AsO4)2,Mg3(AsO4)2_Va_O3,3.7674,-2.457165634230768,2.3589508755567294,2.0266475576627507,0.6440692488768005,2,287,-0.6589084382122885,6.020501893995622
1882,Mg3(AsO4)2,Mg3(AsO4)2_Va_O4,3.7674,-2.457165634230768,2.32432191979167,2.3127244859187024,2.001057605216363,2,275,-0.6589084382122885,6.067566815228143
1883,Mg3(BO3)2,Mg3(BO3)2_Va_O1,5.2993,-3.0366663284848485,1.9707507475268855,2.6416591668978153,1.297231907515601,2,395,-2.1905056483979153,8.938517942651082
1884,Mg3(BO3)2,Mg3(BO3)2_Va_O2,5.2993,-3.0366663284848485,1.9277663201587751,2.850843494361607,1.454353812755227,2,359,-2.1905056483979153,9.677891596779926
1885,MgAl2O4,MgAl2O4_Va_O1,5.2208,-3.374314229285714,2.023271694617387,2.037486965492664,2.4252258411282774,2,447,-2.8945619964631555,9.571409215792725
1886,MgAlBO4,MgAlBO4_Va_O1,6.1708,-3.1794655105952385,2.0794309741139076,2.457303791882284,1.7500927351289517,2,119,-2.1905056483979153,10.2382254579334
