,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max
269,Mg2SiO4,Mg2SiO4_Va_O3,4.7105,-3.2217519799999996,1.978143668023242,2.739128908889802,6.721809379999977,0,111,-2.356834901289411
270,Mg2SnO4,Mg2SnO4_Va_O1,2.6452,-2.6716233064285717,2.095557891012285,2.2622130596147794,5.525079079999964,0,335,-1.538575818365933
271,Mg2SnO4,Mg2SnO4_Va_O2,2.6452,-2.6716233064285717,1.967551878218179,1.545521679732672,5.398928250000049,0,287,-1.538575818365933
272,Mg3(AsO4)2,Mg3(AsO4)2_Va_O1,3.7674,-2.457165634230768,2.338025179654921,2.013496418375219,3.675441429999987,0,311,-0.6589084382122885
273,Mg3(AsO4)2,Mg3(AsO4)2_Va_O2,3.7674,-2.457165634230768,2.2844127882122516,2.3976041183048076,3.897180179999973,0,299,-0.6589084382122885
274,Mg3(AsO4)2,Mg3(AsO4)2_Va_O3,3.7674,-2.457165634230768,2.3589508755567294,2.0266475576627507,3.674535109999974,0,287,-0.6589084382122885
275,Mg3(AsO4)2,Mg3(AsO4)2_Va_O4,3.7674,-2.457165634230768,2.32432191979167,2.3127244859187024,3.5821218200000065,0,275,-0.6589084382122885
276,Mg3(BO3)2,Mg3(BO3)2_Va_O1,5.2993,-3.0366663284848485,1.9707507475268855,2.6416591668978153,7.367082699999978,0,395,-2.1905056483979153
277,Mg3(BO3)2,Mg3(BO3)2_Va_O2,5.2993,-3.0366663284848485,1.9277663201587751,2.850843494361607,7.330453509999993,0,359,-2.1905056483979153
278,MgAl2O4,MgAl2O4_Va_O1,5.2208,-3.374314229285714,2.023271694617387,2.037486965492664,7.489577900000208,0,447,-2.8945619964631555
279,MgGeO3,MgGeO3_Va_O1,2.3566000000000003,-2.560048076,2.4014902769604944,3.5800246206459025,4.4688539800000715,0,47,-1.502819088333178
280,MgGeO3,MgGeO3_Va_O2,2.3566000000000003,-2.560048076,2.319051462619258,2.264710052985627,4.002119290000005,0,63,-1.502819088333178
281,MgGeO3,MgGeO3_Va_O3,2.3566000000000003,-2.560048076,2.0764563078768257,2.732291460717855,4.630603889999984,0,79,-1.502819088333178
282,MgO,MgO_Va_O1,4.6587,-3.0533666124999996,1.31,1.800415362880493,7.610649820000001,0,63,-3.116950431898758
283,Na2BiO3,Na2BiO3_Va_O1,1.2405000000000004,-1.7307813988505751,1.465409178794349,2.5745459837687807,2.959808070000017,0,95,
284,Na2BiO3,Na2BiO3_Va_O2,1.2405000000000004,-1.7307813988505751,1.4865120273157064,2.5802516950747725,2.5963391599999657,0,91,
285,Na2BiO3,Na2BiO3_Va_O3,1.2405000000000004,-1.7307813988505751,1.4725749983626697,2.518970473609788,2.790446960000006,0,83,
286,Na2GeO3,Na2GeO3_Va_O1,2.9417999999999997,-2.139358738850575,1.840543768294723,2.927860965346632,4.517056469999952,0,63,-1.502819088333178
287,Na2GeO3,Na2GeO3_Va_O2,2.9417999999999997,-2.139358738850575,1.365304953105308,1.4611478420306878,4.221938589999931,0,95,-1.502819088333178
288,Na2PbO3,Na2PbO3_Va_O1,1.3852000000000002,-1.685241230933908,1.5578671564280668,1.287216116113615,3.5118434600000317,0,63,-0.2712847561180753
289,Na2PbO3,Na2PbO3_Va_O2,1.3852000000000002,-1.685241230933908,1.5448264821383595,1.3244149362231266,3.720592640000015,0,79,-0.2712847561180753
290,Na2PbO3,Na2PbO3_Va_O3,1.3852000000000002,-1.685241230933908,1.5622508021994184,1.3005316308390644,3.507689330000014,0,95,-0.2712847561180753
291,Na2Sb4O7,Na2Sb4O7_Va_O1,2.9387999999999996,-1.8557798171618032,2.051127537584742,2.788231272117096,4.5623656500000696,0,299,-1.2369755737418262
