,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1331,Sr2SiO4,Sr2SiO4_Va_O3,4.5842,-3.422863758690476,1.7630523901393695,2.2575793232741708,2.480822486712031,2,95,-2.356834901289411,8.857948937383519
1332,Sr2SiO4,Sr2SiO4_Va_O4,4.5842,-3.422863758690476,1.9822723634755313,2.003378364216619,2.6917022461087443,2,111,-2.356834901289411,7.779044420060947
1333,Sr2SnO4,Sr2SnO4_Va_O1,2.8567,-2.7861135097619045,1.6933973178721695,1.243837549095172,1.9157561705151176,2,79,-1.538575818365933,7.7397681979101085
1334,Sr2SnO4,Sr2SnO4_Va_O2,2.8567,-2.7861135097619045,1.9692086761336776,2.139614610681748,0.8889401203754499,2,95,-1.538575818365933,9.188272310832907
1335,Sr2SnO4,Sr2SnO4_Va_O3,2.8567,-2.7861135097619045,1.983597351297278,1.9553647811038304,1.1602900201373585,2,111,-1.538575818365933,9.165865035081499
1336,SrAl4O7,SrAl4O7_Va_O1,3.8043,-3.464532970555555,2.0686637973355024,3.3886414129236364,1.7682999760985685,2,167,-2.8945619964631555,7.9148942845019725
1337,SrAl4O7,SrAl4O7_Va_O2,3.8043,-3.464532970555555,2.1085699467055883,2.2704895205259694,3.837158784627816,2,215,-2.8945619964631555,6.431531718992251
1338,SrAl4O7,SrAl4O7_Va_O3,3.8043,-3.464532970555555,1.937806108722431,2.331783423377374,3.1054495015053365,2,287,-2.8945619964631555,7.198433459228888
1339,SrBe3O4,SrBe3O4_Va_O1,4.028600000000001,-3.1129027464583334,1.6533110910502504,2.5581943510658087,3.044927438335551,2,63,-3.067823794114626,10.412425645353787
1340,SrBe3O4,SrBe3O4_Va_O2,4.028600000000001,-3.1129027464583334,1.5282350663416238,1.7171848755800505,2.885134493218991,2,47,-3.067823794114626,8.355501542311659
1341,SrGa4O7,SrGa4O7_Va_O2,2.5694999999999997,-2.5024807226388877,2.2095961790805183,2.3143721592175077,1.652459204377871,2,191,-1.8812876656363955,6.223637550930445
1342,SrGa4O7,SrGa4O7_Va_O3,2.5694999999999997,-2.5024807226388877,2.044322650399085,2.234831930429887,1.481515225706411,2,287,-1.8812876656363955,6.952575013353426
1343,SrGa4O7,SrGa4O7_Va_O4,2.5694999999999997,-2.5024807226388877,2.1994684574528893,3.2233249975748306,-0.1260982117340052,2,263,-1.8812876656363955,7.351101365958885
1344,SrIn2O4,SrIn2O4_Va_O1,1.8881000000000008,-2.357273833095238,1.975956619531696,1.8071453573751548,1.3402534332253642,2,47,-1.5993795332042406,8.414530797562097
1345,SrIn2O4,SrIn2O4_Va_O2,1.8881000000000008,-2.357273833095238,1.9731408891390827,1.5315136840051684,1.2584773653376833,2,59,-1.5993795332042406,8.816721409760925
1346,SrIn2O4,SrIn2O4_Va_O3,1.8881000000000008,-2.357273833095238,2.1229562814465397,1.4984038828330914,1.2255904040940293,2,71,-1.5993795332042406,7.989737324854365
