site,formula,full_name,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,element
358,Rb2SnO3,Rb2SnO3_Va_O2,-2,-1.5351882427659522,-1.399355895005945,0.7675941213829761,O
94,Rb3AlO3,Rb3AlO3_Va_O1,-2,-0.7951430549783397,-1.5786981908902977,0.39757152748916985,O
110,Rb3AlO3,Rb3AlO3_Va_O2,-2,-1.4970242548435742,-1.497024254843574,0.7485121274217871,O
222,Rb3BiO3,Rb3BiO3_Va_O1,-2,-1.7638088743545763,-1.619062983106074,0.8819044371772882,O
78,Rb3GaO3,Rb3GaO3_Va_O1,-2,-1.2972807063870497,-1.29728070638705,0.6486403531935249,O
110,Rb3GaO3,Rb3GaO3_Va_O2,-2,-1.4753282365377782,-1.475328236537778,0.7376641182688891,O
110,Rb3InO3,Rb3InO3_Va_O1,-2,-1.2028096297855912,-1.0273798298307641,0.6014048148927956,O
106,Rb3InO3,Rb3InO3_Va_O2,-2,-1.3679431657768517,-1.3328753903438115,0.6839715828884259,O
102,Rb3InO3,Rb3InO3_Va_O3,-2,-1.27663846798843,-1.2766384679884302,0.638319233994215,O
106,Rb3TlO3,Rb3TlO3_Va_O1,-2,-1.8822970449490546,-1.8822970449490546,0.9411485224745273,O
110,Rb3TlO3,Rb3TlO3_Va_O2,-2,-2.1110990542605084,-2.065054054756011,1.0555495271302542,O
90,Rb3TlO3,Rb3TlO3_Va_O3,-2,-1.8097843024355065,-1.648170314963628,0.9048921512177532,O
232,Rb4SnO3,Rb4SnO3_Va_O1,-2,-1.4214740809045199,-1.3681977171493287,0.7107370404522599,O
286,Rb4SnO3,Rb4SnO3_Va_O3,-2,-1.4975177812585228,-1.497517781258523,0.7487588906292614,O
214,Rb4SnO4,Rb4SnO4_Va_O1,-2,-1.4670005903151988,-1.467000590315199,0.7335002951575994,O
250,Rb4SnO4,Rb4SnO4_Va_O2,-2,-1.653845852983675,-1.653845852983675,0.8269229264918375,O
286,Rb4SnO4,Rb4SnO4_Va_O3,-2,-1.6002450832470638,-1.6002450832470638,0.8001225416235319,O
322,Rb4SnO4,Rb4SnO4_Va_O4,-2,-1.4293881563009618,-1.2728068899149805,0.7146940781504809,O
226,Rb6Si2O7,Rb6Si2O7_Va_O2,-2,-2.003502438582205,-2.1908491278759192,1.0017512192911024,O
358,Rb6Si2O7,Rb6Si2O7_Va_O3,-2,-1.2123838273082979,-1.918479192382568,0.6061919136541489,O
190,RbAlSiO4,RbAlSiO4_Va_O1,-2,-2.1198062608271604,-2.1198062608271604,1.0599031304135802,O
238,RbAlSiO4,RbAlSiO4_Va_O2,-2,-2.0299086048475443,-2.1604352349791056,1.0149543024237722,O
334,RbAlSiO4,RbAlSiO4_Va_O4,-2,-2.2009486310693545,-2.2009486310693545,1.1004743155346772,O
142,RbAsO2,RbAsO2_Va_O1,-2,-1.726224846297097,-1.726224846297097,0.8631124231485485,O
106,RbBO2,RbBO2_Va_O1,-2,-1.1996974541113006,-1.7324661053923562,0.5998487270556503,O
142,RbBa4Sb3O,RbBa4Sb3O_Va_O1,-2,-1.937172358452335,-1.9371723584523348,0.9685861792261675,O
190,RbBiO2,RbBiO2_Va_O1,-2,-1.8968729988206439,-1.8132669836569522,0.9484364994103219,O
190,RbMgBO3,RbMgBO3_Va_O1,-2,-0.9974224671293642,-1.8303021642811654,0.4987112335646821,O
110,RbNa2BO3,RbNa2BO3_Va_O1,-2,-0.9300609856973018,-1.7822383865610953,0.4650304928486509,O
94,RbNa2BO3,RbNa2BO3_Va_O2,-2,-0.9847848197725964,-1.754299062808872,0.4923924098862982,O
190,RbSbO2,RbSbO2_Va_O1,-2,-1.8937460103369739,-1.8421150095602403,0.9468730051684869,O
298,RbTlO2,RbTlO2_Va_O1,-2,-2.2520343650714865,-2.2520343650714865,1.1260171825357432,O
94,RbTlO,RbTlO_Va_O1,-2,-1.9588248074544703,-1.9588248074544703,0.9794124037272351,O
46,Sb2O3,Sb2O3_Va_O1,-2,-1.9698140396541972,-1.9698140396541972,0.9849070198270986,O
106,Sb2O5,Sb2O5_Va_O1,-2,-2.396506482155358,-2.396506482155358,1.198253241077679,O
250,Sb2O5,Sb2O5_Va_O2,-2,-2.4805950687523763,-2.4805950687523763,1.2402975343761882,O
214,Sb2O5,Sb2O5_Va_O3,-2,-2.209527971660631,-2.209527971660631,1.1047639858303155,O
70,Sb2PbO6,Sb2PbO6_Va_O1,-2,-2.1576672862845636,-2.1576672862845636,1.0788336431422818,O
70,SbAsO3,SbAsO3_Va_O1,-2,-1.8747504266525103,-2.01234659836217,0.9373752133262552,O
94,SbAsO3,SbAsO3_Va_O2,-2,-1.9298262520135956,-1.9822970518529799,0.9649131260067978,O
118,SbAsO3,SbAsO3_Va_O3,-2,-2.0270148470436853,-2.090770401878288,1.0135074235218426,O
46,SbO2,SbO2_Va_O1,nan,-2.219468374940366,-2.219468374940366,1.109734187470183,O
62,SbO2,SbO2_Va_O2,nan,-2.190572622930417,-2.190572622930417,1.0952863114652085,O
78,SbO2,SbO2_Va_O3,nan,-2.251163106534588,-2.2511631065345883,1.125581553267294,O
94,SbO2,SbO2_Va_O4,nan,-2.1176381274817273,-2.1709898733439545,1.0588190637408637,O
214,SiO2,SiO2_Va_O1,-2,-2.580680755651299,-2.580680755651299,1.2903403778256495,O
106,Sn5O6,Sn5O6_Va_O1,nan,-1.9060583818783063,-1.9060583818783063,0.9530291909391532,O
130,Sn5O6,Sn5O6_Va_O2,nan,-1.9618374516015966,-1.9618374516015968,0.9809187258007983,O
118,Sn5O6,Sn5O6_Va_O3,nan,-1.8406828851672175,-1.8406828851672175,0.9203414425836087,O
106,SnB4O7,SnB4O7_Va_O1,-2,-1.4939343158512086,-1.8223072822547577,0.7469671579256043,O
142,SnB4O7,SnB4O7_Va_O2,-2,-1.7694374246161562,-1.8235510704231812,0.8847187123080781,O
178,SnB4O7,SnB4O7_Va_O3,-2,-1.6016698609581734,-1.8539880359410046,0.8008349304790867,O
214,SnB4O7,SnB4O7_Va_O4,-2,-1.7095442470435012,-1.8529182879511297,0.8547721235217506,O
70,SnO2,SnO2_Va_O1,-2,-2.0734633746477353,-2.073463374647736,1.0367316873238677,O
70,Sr(AsO3)2,Sr(AsO3)2_Va_O1,-2,-2.116982937112555,-2.116982937112555,1.0584914685562774,O
166,Sr(BO2)2,Sr(BO2)2_Va_O1,-2,-1.1661371503837643,-1.8457067379475296,0.5830685751918822,O
142,Sr(BO2)2,Sr(BO2)2_Va_O2,-2,-1.8567302323954553,-2.036728425797284,0.9283651161977277,O
190,Sr(BiO2)2,Sr(BiO2)2_Va_O1,-2,-2.1085177458630864,-2.1085177458630864,1.0542588729315432,O
238,Sr(BiO2)2,Sr(BiO2)2_Va_O2,-2,-2.0887395006835026,-2.0887395006835026,1.0443697503417513,O
286,Sr(BiO2)2,Sr(BiO2)2_Va_O3,-2,-1.82276883376511,-1.82276883376511,0.911384416882555,O
334,Sr(BiO2)2,Sr(BiO2)2_Va_O4,-2,-2.0622949664991475,-2.0622949664991475,1.0311474832495737,O
70,Sr(SbO3)2,Sr(SbO3)2_Va_O1,-2,-2.191287210146008,-2.191287210146008,1.095643605073004,O
298,Sr2CeO4,Sr2CeO4_Va_O1,-2,-1.755467396559259,-1.7082995813678419,0.8777336982796295,O
418,Sr2CeO4,Sr2CeO4_Va_O2,-2,-1.8384462697627164,-1.8384462697627164,0.9192231348813582,O
62,Sr2GeO4,Sr2GeO4_Va_O1,-2,-1.8477802021438152,-1.8477802021438152,0.9238901010719076,O
78,Sr2GeO4,Sr2GeO4_Va_O2,-2,-1.6327317181641676,-1.6327317181641676,0.8163658590820838,O
94,Sr2GeO4,Sr2GeO4_Va_O3,-2,-1.7151562844969566,-1.7151562844969566,0.8575781422484783,O
74,Sr2InSbO6,Sr2InSbO6_Va_O1,-2,-1.8806961548460304,-1.8806961548460304,0.9403480774230152,O
78,Sr2InSbO6,Sr2InSbO6_Va_O2,-2,-1.8940088661324228,-1.8940088661324226,0.9470044330662114,O
62,Sr2InSbO6,Sr2InSbO6_Va_O3,-2,-1.9186083444684894,-1.9186083444684896,0.9593041722342447,O
394,Sr2Mg(BO3)2,Sr2Mg(BO3)2_Va_O1,-2,-1.3051701118445356,-1.7555269254479704,0.6525850559222678,O
358,Sr2Mg(BO3)2,Sr2Mg(BO3)2_Va_O2,-2,-1.9065628039416194,-1.9065628039416196,0.9532814019708097,O
286,Sr2MgGe2O7,Sr2MgGe2O7_Va_O1,-2,-2.209325091575609,-2.2093250915756095,1.1046625457878045,O
274,Sr2MgGe2O7,Sr2MgGe2O7_Va_O2,-2,-1.8439568301706695,-1.8439568301706697,0.9219784150853347,O
226,Sr2MgGe2O7,Sr2MgGe2O7_Va_O3,-2,-1.5616366678032618,-1.5616366678032618,0.7808183339016309,O
286,Sr2MgSi2O7,Sr2MgSi2O7_Va_O2,-2,-1.8205951044819186,-1.8205951044819186,0.9102975522409593,O
262,Sr2MgSi2O7,Sr2MgSi2O7_Va_O3,-2,-2.6235977063447766,-2.6235977063447766,1.3117988531723883,O
298,Sr2PbO4,Sr2PbO4_Va_O1,-2,-1.976831433218258,-1.976831433218258,0.988415716609129,O
418,Sr2PbO4,Sr2PbO4_Va_O2,-2,-1.6061701750561759,-1.6061701750561757,0.8030850875280879,O
254,Sr2Sb2O7,Sr2Sb2O7_Va_O1,-2,-2.2084728224382264,-2.208472822438227,1.1042364112191132,O
286,Sr2Sb2O7,Sr2Sb2O7_Va_O2,-2,-1.83872738426337,-2.0245926684623567,0.919363692131685,O
